Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End 1 Over Voltage Stage 1,End 1 Over Voltage Stage 2,End 2 Over Voltage Stage 1,End 2 Over Voltage Stage 2,,,,,,,End-1 240 MVAR SLR,End-1 240 MVAR NSLR,End-1 330 MVAR SLR,End-1 330 MVAR NSLR,End-2 240 MVAR SLR,End-2 240 MVAR NSLR,End-2 330 MVAR SLR,End-2 330 MVAR NSLR
50,Satna,Gwalior,1,WRTS-2,WRTS-2,WRTS-2,337,Quad Bersimis,2194,792,240,Yes,240,-,110 %-7 Sec,150 %-0.1 Sec,108 %-7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
51,Satna,Gwalior,2,WRTS-2,WRTS-2,WRTS-2,337,Quad Bersimis,2194,792,240,Yes,240,-,107 %-5 Sec,150 %-0.1 Sec,110 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
52,Satna,Bina-PG   ,1,WRTS-2,WRTS-2,WRTS-2,274,Quad Bersimis,2194,644,240,Yes,240,-,109 %-5 Sec,150 %-0.1 Sec,109 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
53,Satna,Bina-PG   ,2,WRTS-2,WRTS-2,WRTS-2,276,Quad Bersimis,2194,649,240,Yes,240,-,109 %-6 Sec,150 %-0.1 Sec,109 %-6 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
54,Satna,Vindhyachal-PS,1,WRTS-2,WRTS-2,WRTS-2,237,Quad Bersimis,2194,557,240,-,240,Yes,108 %-5 Sec,150 %-0.1 Sec,108 %-5 Sec,150 %-0.1 Sec,,,,,,,0,1,0,0,1,0,0,0
55,Satna,Vindhyachal-PS,2,WRTS-2,WRTS-2,WRTS-2,237,Quad Bersimis,2194,557,240,-,240,Yes,109 %-7 Sec,150 %-0.1 Sec,109 %-7 Sec,150 %-0.1 Sec,,,,,,,0,1,0,0,1,0,0,0
56,Seoni,Bina-PG  ,1,WRTS-1,WRTS-1,WRTS-2,292,Quad Bersimis,2194,686,240,Yes,240,-,108 % -5 Sec,150 %-0.1 Sec,108 % -5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,1,0,0
57,Seoni,Wardha,1,WRTS-1,WRTS-1,WRTS-1,261,Quad Bersimis,2194,613,240,Yes,-,-,109 %- 7 Sec,150 %-0.1 Sec,109 %- 7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,0,0,0
58,Seoni,Wardha,2,WRTS-1,WRTS-1,WRTS-1,261,Quad Bersimis,2194,613,240,Yes,-,-,108 %-7 Sec,150 %-0.1 Sec,108 %-7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,0,0,0
59,Sipat,Bilaspur,1,WRTS-1,NTPC,WRTS-1,22,Quad Bersimis,2194,52,240,Yes,-,-,109%-5 Sec,150 %-0.1 Sec,109 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,0,0,0
60,Sipat,Bilaspur,2,WRTS-1,NTPC,WRTS-1,22,Quad Bersimis,2194,52,240,Yes,-,-,108 %-6 Sec,150 %-0.1 Sec,108 %-6 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,0,0,0,0
61,Solapur,Raichur,1,SRTS-1,WRTS-1,SRTS-1,208,Quad Bersimis,2194,489,240,Yes,240,Yes,110 %-4 Sec,140 %-0.1 Sec,109 %-5Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,1,0,0,0
62,Solapur,Raichur,2,SRTCL,WRTS-1,SRTS-1,208,Quad Bersimis,2194,489,240,Yes,240,Yes,110 %-4 Sec,140 %-0.1 Sec,108 %-7Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,1,0,0,0
63,Tiroda,Koradi(III),1,MEGPTCL,APML,MEGPTCL,136,Quad Bersimis,2194,320,240,Yes,240,Yes,109 %-5 Sec,150 %-0.1 Sec,109 %-5 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,1,0,0,0
64,Tiroda,Koradi(III),2,MEGPTCL,APML,MEGPTCL,138,Quad Bersimis,2194,324,240,Yes,240,Yes,109 %-7 Sec,150 %-0.1 Sec,109 %-7 Sec,150 %-0.1 Sec,,,,,,,1,0,0,0,1,0,0,0
65,Vadodora-PS ,Indore-PG,1,WRTS-2,WRTS-2,WRTS-2,293,Quad Bersimis,2194,689,240,-,240,Yes,110 %-7 Sec,140 %-0.15 Sec,110 %-7 Sec,140 %-0.15 Sec,,,,,,,0,1,0,0,1,0,0,0
66,Vadodora-PS ,Dhule-BDTCL,1,WRTS-2,WRTS-2,BDTCL,268,Quad Bersimis,2194,630,240,-,240,Yes,110 %-5 Sec,140 %-0.15 Sec,110 %-5 Sec,140 %-0.15 Sec,,,,,,,0,1,0,0,1,0,0,0
67,Wardha,Raipur-PS(Durg),1,WRTS-1,WRTS-1,WRTS-1,370,Hexa Zebra,2470,984,330,-,240,Yes,109 %-6 Sec,150 %-0.1 Sec,109 %-6 Sec,150 %-0.1 Sec,,,,,,,0,0,0,1,1,0,0,0
68,Wardha,Raipur-PS(Durg),2,WRTS-1,WRTS-1,WRTS-1,370,Hexa Zebra,2470,984,330,-,240,Yes,108 %-5 Sec,150 %-0.1 Sec,110 %-5Sec,140 %-0.1 Sec,,,,,,,0,0,0,1,1,0,0,0
