Sl No,End-1,End-2,Id,Line Owner,End-1 Owner,End-2 Owner,Km,Conductor Type,SIL,No Load MVAR Generated,End1 LR MVAR,End1 LR S/W,End2 LR MVAR,End2 LR S/W,End1 50 MVAR SLR,End1 50 MVAR NSLR,End1 63 MVAR SLR,End1 63 MVAR NSLR,End1 80  MVAR SLR,End1 80 MVAR NSLR,,End2 50 MVAR SLR,End2 50 MVAR NSLR,End2 63 MVAR SLR,End2 63 MVAR NSLR,End2 80  MVAR SLR,End2 80 MVAR NSLR
126,Dhule-MS,Bableshwar,2,MSETCL,MSETCL,MSETCL,170,Twin ACSR Moose,517,94.35,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
127,Ektuni (Aurangabad(3)),Bableshwar,1,MSETCL,MSETCL,MSETCL,127,Quad ACSR Moose,681,92.964,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
128,Ektuni (Aurangabad(3)),Bableshwar,2,MSETCL,MSETCL,MSETCL,127,Quad ACSR Moose,681,92.964,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
129,Gandhar,Navsari,1,WRTS-2,NTPC,WRTS-2,106,Twin ACSR Moose,517,58.83,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
130,Gandhar,Kosamba,1,WRTS-2,NTPC,GETCO,93,Twin ACSR Moose,517,51.615,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
131,Gandhar,Hazira,1,EPTCL,NTPC,HAZIRA-IPP,97,Twin ACSR Moose,517,53.835,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
132,Gandhar,Hazira,2,EPTCL,NTPC,HAZIRA-IPP,97,Twin ACSR Moose,517,53.835,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
133,Gandhar,GPEC,1,GETCO,NTPC,GPEC,13,Twin ACSR Moose,517,7.215,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
134,Gandhar,Sugen,1,WRTS-2,NTPC,TPL,64,Twin ACSR Moose,517,35.52,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
135,GPEC,Kasor,1,GPEC,GPEC,GETCO,98,Twin ACSR Moose,517,54.39,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
136,Hadala,Varsana,1,GETCO,GETCO,GETCO,159,Twin ACSR Moose,517,88.245,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
137,Hadala,Vadinar,1,GETCO,GETCO,ESSAR,113,Twin ACSR Moose,517,62.715,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
138,Hadala,Vadinar,2,GETCO,GETCO,ESSAR,113,Twin ACSR Moose,517,62.715,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
139,Hadala,Chorania,1,GETCO,GETCO,GETCO,166,Twin ACSR Moose,517,92.13,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
140,IEPL,Warora,1,WRTS-1,IEPL,MEGPTL,150,Twin ACSR Moose,517,83.25,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
141,IEPL,Koradi-II,2,WRTS-1,IEPL,MSETCL,94,Twin ACSR Moose,517,52.17,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
142,Indira Sagar,Indore-MP,1,MPPTCL,MPPTCL,MPPTCL,79,Quad ACSR Moose,681,57.828,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
143,Indira Sagar,Indore-MP,2,MPPTCL,MPPTCL,MPPTCL,80,Quad ACSR Moose,681,58.56,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
144,Indira Sagar,Nagda,1,MPPTCL,MPPTCL,MPPTCL,188,Twin ACSR Moose,517,104.34,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
145,Indore-MP,Indore-PG,1,WRTS-2,MPPTCL,WRTS-2,50,Twin ACSR Moose,517,27.75,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
146,Indore-MP,Indore-PG,2,WRTS-2,MPPTCL,WRTS-2,50,Twin ACSR Moose,517,27.75,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
147,Indore-MP,Nagda,1,MPPTCL,MPPTCL,MPPTCL,108,Twin ACSR Moose,517,59.94,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
148,Indore-MP,Asoj,1,GETCO,MPPTCL,GETCO,289,Twin ACSR Moose,517,160.395,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
149,Indore-MP,Asoj,2,GETCO,MPPTCL,GETCO,273,Twin ACSR Moose,517,151.515,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
150,Indore-PG,Pithampur,1,MPPTCL,MPPTCL,MPPTCL,150,Twin ACSR Moose,517,83.25,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
151,Indore-PG,Pithampur,2,MPPTCL,MPPTCL,MPPTCL,150,Twin ACSR Moose,517,83.25,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
152,Itarsi,Indore-MP,1,WRTS-2,WRTS-2,MPPTCL,207,Twin ACSR Moose,517,114.885,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
153,Itarsi,Indore-MP,2,WRTS-2,WRTS-2,MPPTCL,214,Twin ACSR Moose,517,118.77,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
154,Itarsi,Khandwa,1,WRTS-2,WRTS-2,WRTS-2,197,Twin ACSR Moose,517,109.335,50,Yes,-,-,1,0,0,0,0,0,,0,0,0,0,0,0
155,Itarsi,Khandwa,2,WRTS-2,WRTS-2,WRTS-2,197,Twin ACSR Moose,517,109.335,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
156,Jabalpur,Itarsi,1,WRTS-2,WRTS-2,WRTS-2,232,Twin ACSR Moose,517,128.76,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
157,Jabalpur,Itarsi,2,WRTS-2,WRTS-2,WRTS-2,232,Twin ACSR Moose,517,128.76,50,-,50,-,0,1,0,0,0,0,,0,1,0,0,0,0
158,Jabalpur,Itarsi,3,WRTS-2,WRTS-2,WRTS-2,234,Twin ACSR Moose,517,129.87,50,Yes,50,-,1,0,0,0,0,0,,0,1,0,0,0,0
159,Jabalpur,Itarsi,4,WRTS-2,WRTS-2,WRTS-2,234,Twin ACSR Moose,517,129.87,50,Yes,50,-,1,0,0,0,0,0,,0,1,0,0,0,0
160,Jabalpur,Sasan,1,WRTS-2,WRTS-2,SPL,340,Twin ACSR Moose,517,188.7,63,-,50,-,0,0,0,1,0,0,,0,1,0,0,0,0
161,Jabalpur,Jabalpur (PS),1,WRTS-2,WRTS-2,WRTS-2,16,Quad ACSR Moose,681,11.712,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
162,Jabalpur,Jabalpur (PS),2,WRTS-2,WRTS-2,WRTS-2,16,Quad ACSR Moose,681,11.712,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
163,Jabalpur (PS),MB Power,1,WRTS-2,WRTS-2,MB-Power,246,Triple ACSR Snowbird,626,165.558,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
164,Jabalpur (PS),MB Power,2,WRTS-2,WRTS-2,MB-Power,246,Triple ACSR Snowbird,626,165.558,50,-,-,-,0,1,0,0,0,0,,0,0,0,0,0,0
165,Jabalpur (PS),Jhabua Power,1,Jhabua Power Ltd,WRTS-2,Jhabua Power,65,Twin ACSR Moose,517,36.075,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
166,Jabalpur (PS),Jhabua Power,2,Jhabua Power Ltd,WRTS-2,Jhabua Power,65,Twin ACSR Moose,517,36.075,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
167,Jaigad,New koyna ,1,MSETCL,JAIGAD-IPP,MSETCL,55,Twin ACSR Moose,517,30.525,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
168,Jaigad,New koyna ,2,MSETCL,JAIGAD-IPP,MSETCL,55,Twin ACSR Moose,517,30.525,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
169,Jejuri,Koyna stage-IV,1,MSETCL,MSETCL,MSETCL,172,Twin ACSR Moose,517,95.46,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
170,JPL,Raipur,1,JPL,JPL,WRTS-1,258,Twin ACSR Moose,517,143.19,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
171,JPL,Raipur,2,JPL,JPL,WRTS-1,258,Twin ACSR Moose,517,143.19,-,-,50,-,0,0,0,0,0,0,,0,1,0,0,0,0
172,JPL,JPL_extn(Tamnar),1,JPL,JPL,JPL,2,Twin ACSR Moose,517,1.11,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
173,JPL_extn(Tamnar),Tamnar-PS,1,JPL,JPL,WRTS-1,10,Twin ACSR Moose,517,5.55,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
174,JPL_extn(Tamnar),Tamnar-PS,2,JPL,JPL,WRTS-1,10,Twin ACSR Moose,517,5.55,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
175,JPL_extn(Tamnar),Tamnar-PS,4,JPL,JPL,WRTS-1,10,Twin ACSR Moose,517,5.55,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
176,JPL_extn(Tamnar),Tamnar-PS,3,JPL,JPL,WRTS-1,10,Twin ACSR Moose,517,5.55,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
177,Kala,Vapi,1,WRTS-2,WRTS-2,WRTS-2,49,Twin ACSR Moose,517,27.195,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
178,Kala,Vapi,2,WRTS-2,WRTS-2,WRTS-2,52,Twin ACSR Moose,517,28.86,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
179,Kalwa,Padghe,1,MSETCL,MSETCL,MSETCL,72,Twin ACSR Moose,517,39.96,-,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0
